subject,modeSeq,absPhaseSeq,total_trials,correct_responses,accuracy
30877326,1,30,120,96,0.8
30877326,1,60,120,99,0.825
30877326,1,90,120,109,0.9083333
30877326,2,30,60,56,0.9333333
30877326,2,60,60,59,0.9833333
30877326,2,90,60,58,0.9666667
31211410,1,30,60,46,0.7666667
31211410,1,60,60,50,0.8333333
31211410,1,90,60,58,0.9666667
31211410,2,30,60,58,0.9666667
31211410,2,60,60,59,0.9833333
31211410,2,90,60,59,0.9833333
32462549,1,30,120,103,0.8583333
32462549,1,60,120,113,0.9416667
32462549,1,90,120,113,0.9416667
32462549,2,30,60,55,0.9166667
32462549,2,60,60,58,0.9666667
32462549,2,90,60,57,0.95
32508484,1,30,120,101,0.8416667
32508484,1,60,120,105,0.875
32508484,1,90,120,112,0.9333333
32508484,2,30,60,54,0.9
32508484,2,60,60,56,0.9333333
32508484,2,90,60,57,0.95
32529325,1,30,120,99,0.825
32529325,1,60,120,110,0.9166667
32529325,1,90,120,105,0.875
32529325,2,30,60,53,0.8833333
32529325,2,60,60,60,1.0
32529325,2,90,60,57,0.95
32531915,1,30,120,96,0.8
32531915,1,60,120,113,0.9416667
32531915,1,90,120,111,0.925
32531915,2,30,60,47,0.7833333
32531915,2,60,60,58,0.9666667
32531915,2,90,60,56,0.9333333
32554419,1,30,120,66,0.55
32554419,1,60,120,74,0.6166667
32554419,1,90,120,80,0.6666667
32554419,2,30,60,50,0.8333333
32554419,2,60,60,48,0.8
32554419,2,90,60,55,0.9166667
33269564,1,30,120,88,0.7333333
33269564,1,60,120,103,0.8583333
33269564,1,90,120,103,0.8583333
33269564,2,30,60,59,0.9833333
33269564,2,60,60,60,1.0
33269564,2,90,60,58,0.9666667
654321,1,30,120,82,0.6833333
654321,1,60,120,97,0.8083333
654321,1,90,120,103,0.8583333
654321,2,30,60,55,0.9166667
654321,2,60,60,56,0.9333333
654321,2,90,60,53,0.8833333
