subject,phase,observed_diff,p_value
30877326,60,0.10479303,0.0
30877326,30,0.14008715,0.0
30877326,90,0.06797386,2e-05
31211410,60,0.10479303,0.0
31211410,30,0.14008715,0.0
31211410,90,0.06797386,2e-05
32462549,60,0.10479303,0.0
32462549,30,0.14008715,0.0
32462549,90,0.06797386,2e-05
32508484,60,0.10479303,0.0
32508484,30,0.14008715,0.0
32508484,90,0.06797386,2e-05
32529325,60,0.10479303,0.0
32529325,30,0.14008715,0.0
32529325,90,0.06797386,2e-05
32531915,60,0.10479303,0.0
32531915,30,0.14008715,0.0
32531915,90,0.06797386,2e-05
32554419,60,0.10479303,0.0
32554419,30,0.14008715,0.0
32554419,90,0.06797386,2e-05
33269564,60,0.10479303,0.0
33269564,30,0.14008715,0.0
33269564,90,0.06797386,2e-05
654321,60,0.10479303,0.0
654321,30,0.14008715,0.0
654321,90,0.06797386,2e-05
